                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6316,                0.42312,                0.89191,                0.97682,                 0.9908,                0.99454,                0.69598,                 1.2608,                0.42537,                 1.2375,             0.00016567,             0.00016567,             0.00016567
                     36,                0.61683,                0.41661,                  0.888,                0.98537,                0.98904,                0.99422,                0.69127,                 1.2526,                0.42554,                 1.2337,             0.00016213,             0.00016213,             0.00016213
                     37,                0.61134,                0.42171,                0.88831,                0.98431,                0.98692,                0.99357,                0.69133,                 1.2463,                 0.4249,                  1.227,             0.00015859,             0.00015859,             0.00015859
                     38,                0.61418,                0.41052,                0.89029,                0.97682,                0.98441,                0.99383,                0.69108,                 1.2762,                0.42702,                 1.2594,             0.00015505,             0.00015505,             0.00015505
                     39,                0.61287,                0.40951,                0.88602,                0.97455,                0.98644,                0.99427,                0.69554,                 1.2577,                 0.4336,                 1.2363,             0.00015151,             0.00015151,             0.00015151
                     40,                0.62167,                0.41937,                0.88904,                0.98291,                0.98649,                0.99414,                0.69347,                 1.2632,                0.42052,                 1.2536,             0.00014797,             0.00014797,             0.00014797
                     41,                0.61993,                 0.4109,                0.88735,                0.98589,                0.98842,                0.99432,                0.68825,                 1.2607,                0.42682,                   1.23,             0.00014443,             0.00014443,             0.00014443
                     42,                0.61418,                0.41615,                0.88686,                0.98008,                0.99129,                0.99385,                 0.6891,                 1.2604,                0.42488,                 1.2409,             0.00014089,             0.00014089,             0.00014089
                     43,                0.61779,                0.40442,                0.88593,                0.98595,                0.98793,                0.99447,                0.69494,                 1.2598,                0.42996,                 1.2395,             0.00013735,             0.00013735,             0.00013735
                     44,                0.61561,                0.41119,                0.88681,                0.98322,                0.98625,                0.99447,                0.69035,                 1.2569,                 0.4216,                 1.2448,             0.00013381,             0.00013381,             0.00013381
                     45,                0.61063,                0.40569,                0.88338,                0.98804,                0.98909,                0.99438,                 0.6976,                 1.2504,                0.41115,                 1.2351,             0.00013027,             0.00013027,             0.00013027
                     46,                0.61369,                0.41211,                0.88179,                0.98306,                0.98995,                0.99451,                0.69014,                 1.2706,                0.41659,                  1.258,             0.00012673,             0.00012673,             0.00012673
                     47,                0.60226,                0.39311,                0.88125,                0.98329,                0.98466,                0.99461,                0.70136,                 1.2532,                0.42367,                 1.2289,             0.00012319,             0.00012319,             0.00012319
                     48,                0.59839,                0.39955,                0.88232,                0.98483,                0.98388,                0.99432,                0.69468,                 1.2586,                0.42068,                 1.2317,             0.00011966,             0.00011966,             0.00011966
                     49,                0.59553,                 0.3885,                0.88019,                0.97704,                0.98706,                0.99454,                0.69343,                 1.2567,                 0.4176,                 1.2332,             0.00011612,             0.00011612,             0.00011612
                     50,                0.61302,                0.40004,                0.88253,                0.98161,                0.98485,                0.99414,                0.69678,                  1.248,                0.41287,                 1.2462,             0.00011258,             0.00011258,             0.00011258
                     51,                0.59096,                0.39058,                0.87898,                 0.9855,                0.98574,                0.99412,                 0.6928,                 1.2478,                0.41156,                 1.2407,             0.00010904,             0.00010904,             0.00010904
                     52,                0.59577,                0.39426,                0.88188,                0.98688,                0.98636,                0.99459,                 0.6917,                 1.2455,                0.41542,                 1.2268,              0.0001055,              0.0001055,              0.0001055
                     53,                0.59359,                0.38989,                0.88198,                 0.9864,                0.98507,                0.99421,                0.69744,                 1.2421,                0.41835,                 1.2255,             0.00010196,             0.00010196,             0.00010196
                     54,                0.59376,                0.38908,                0.87963,                0.98681,                  0.984,                0.99327,                0.69495,                 1.2401,                0.41624,                 1.2233,              9.842e-05,              9.842e-05,              9.842e-05
                     55,                 0.5911,                0.38447,                0.87839,                0.98526,                0.98588,                0.99466,                0.69324,                   1.24,                0.41534,                 1.2226,             9.4881e-05,             9.4881e-05,             9.4881e-05
                     56,                0.58929,                0.38012,                0.87917,                0.98522,                0.98704,                0.99461,                0.69108,                 1.2622,                0.41575,                 1.2428,             9.1341e-05,             9.1341e-05,             9.1341e-05
                     57,                0.59056,                0.38072,                0.87681,                0.98442,                0.98845,                0.99447,                0.69572,                 1.2545,                0.40643,                 1.2426,             8.7802e-05,             8.7802e-05,             8.7802e-05
                     58,                0.59022,                0.37922,                0.88001,                0.98729,                0.98544,                0.99452,                0.69214,                 1.2468,                0.40899,                 1.2369,             8.4263e-05,             8.4263e-05,             8.4263e-05
                     59,                0.58807,                 0.3835,                0.87665,                0.98597,                 0.9871,                 0.9946,                0.68695,                 1.2691,                0.41327,                 1.2501,             8.0724e-05,             8.0724e-05,             8.0724e-05
                     60,                0.59026,                 0.3861,                0.87715,                0.98799,                0.98665,                 0.9946,                0.69173,                  1.253,                0.41657,                  1.241,             7.7184e-05,             7.7184e-05,             7.7184e-05
                     61,                0.59762,                0.37719,                0.87793,                 0.9899,                0.98704,                0.99461,                0.69225,                 1.2507,                0.41809,                 1.2411,             7.3645e-05,             7.3645e-05,             7.3645e-05
                     62,                0.58684,                0.37577,                0.87661,                 0.9874,                 0.9859,                0.99462,                0.69559,                 1.2446,                0.41299,                 1.2398,             7.0106e-05,             7.0106e-05,             7.0106e-05
                     63,                0.58059,                0.37979,                0.87687,                0.98842,                0.98483,                0.99461,                0.69449,                 1.2451,                0.41249,                 1.2295,             6.6566e-05,             6.6566e-05,             6.6566e-05
                     64,                 0.5743,                0.36901,                0.87388,                0.98466,                 0.9875,                0.99461,                  0.694,                 1.2434,                 0.4142,                 1.2325,             6.3027e-05,             6.3027e-05,             6.3027e-05
                     65,                  0.585,                0.38348,                0.87841,                0.98419,                0.98915,                0.99463,                0.69844,                 1.2448,                0.40962,                 1.2351,             5.9488e-05,             5.9488e-05,             5.9488e-05
                     66,                0.58897,                0.37215,                0.87766,                0.98473,                0.98745,                0.99466,                0.69781,                  1.242,                0.41195,                 1.2301,             5.5949e-05,             5.5949e-05,             5.5949e-05
                     67,                0.58493,                0.36976,                0.87772,                0.98399,                0.98745,                0.99463,                0.69512,                 1.2457,                0.41304,                 1.2352,              5.241e-05,              5.241e-05,              5.241e-05
                     68,                0.57136,                0.36726,                0.87415,                0.98567,                0.98794,                 0.9947,                0.69588,                 1.2521,                0.41355,                 1.2383,              4.887e-05,              4.887e-05,              4.887e-05
                     69,                0.58769,                0.37618,                0.87871,                0.98345,                 0.9875,                0.99467,                0.69916,                 1.2429,                 0.4118,                 1.2357,             4.5331e-05,             4.5331e-05,             4.5331e-05
                     70,                 0.5914,                0.37112,                 0.8762,                0.98376,                0.98679,                 0.9947,                 0.6955,                 1.2435,                 0.4122,                 1.2281,             4.1792e-05,             4.1792e-05,             4.1792e-05
                     71,                 0.5333,                0.30036,                0.86008,                0.98453,                0.98409,                  0.991,                0.69245,                  1.265,                 0.4192,                 1.2481,             3.8253e-05,             3.8253e-05,             3.8253e-05
                     72,                0.52633,                 0.2937,                0.85477,                0.98279,                0.98433,                  0.991,                0.69564,                 1.2541,                0.41658,                 1.2409,             3.4713e-05,             3.4713e-05,             3.4713e-05
                     73,                0.52591,                0.28941,                0.85346,                0.98328,                0.98518,                0.99102,                0.69489,                 1.2629,                0.42106,                 1.2511,             3.1174e-05,             3.1174e-05,             3.1174e-05
                     74,                0.52643,                0.29092,                0.85453,                0.98448,                0.98548,                0.99104,                0.69256,                 1.2588,                0.41923,                 1.2489,             2.7635e-05,             2.7635e-05,             2.7635e-05
                     75,                0.52171,                0.28545,                0.85346,                0.98529,                0.98515,                 0.9897,                0.69425,                 1.2522,                0.42574,                 1.2439,             2.4095e-05,             2.4095e-05,             2.4095e-05
                     76,                 0.5192,                0.28376,                 0.8522,                0.98708,                0.98546,                0.99117,                0.69453,                 1.2658,                0.42353,                 1.2551,             2.0556e-05,             2.0556e-05,             2.0556e-05
                     77,                0.52715,                0.28714,                 0.8515,                0.98765,                 0.9849,                0.99117,                0.69542,                 1.2556,                0.42537,                 1.2447,             1.7017e-05,             1.7017e-05,             1.7017e-05
                     78,                0.52141,                0.28733,                0.85311,                0.98728,                0.98532,                0.98999,                0.69356,                 1.2599,                  0.431,                 1.2472,             1.3478e-05,             1.3478e-05,             1.3478e-05
                     79,                0.52328,                0.28632,                0.85008,                0.98662,                0.98548,                 0.9897,                0.69569,                 1.2586,                 0.4286,                 1.2442,             9.9385e-06,             9.9385e-06,             9.9385e-06
                     80,                0.51923,                0.28327,                0.85679,                0.98694,                0.98536,                 0.9897,                0.69583,                  1.253,                0.42754,                 1.2403,             6.3992e-06,             6.3992e-06,             6.3992e-06
